crews,popularity,imdb_avgRating
Adil Dadashov,0.6,6.7
Adil Hussain,1.252,7.9
Adilkhan Yerzhanov,0.694,6.8
Adilla Dimitri,0.6,6.2
Adimolana Machmud,0.6,5.4
Adina Andrei,0.98,5.1
Adina Mutar,0.6,6.2
Adirek Wattaleela,0.6,6.125000000000001
Adisorn Klomsiri,0.6,7.1
Adisorn Tresirikasem,0.6,8.0
Adisorn Trisirikasem,0.716,6.6
Adit Gauchan,0.6,8.2
Adith Duangjan,0.6,7.1
Aditi V Makim,0.6,7.8
Aditya Assarat,0.6,5.7
Aditya Bhattacharya,0.6,7.2
Aditya Chopra,0.9800000000000002,6.30625
Aditya Datt,0.828,3.85
Aditya J. Patwardhan,0.6,4.7
Aditya Kunigal,0.6,
Aditya Narayan,0.694,5.4
Aditya Nimbalkar,0.6,5.4
Aditya Sarpotdar,0.6,7.6
Aditya Singh,0.6,6.7
Aditya Srivastava,0.98,5.5
Adityawan Susanto,0.6,6.48888888888889
Adivi Sesh,0.989,8.2
Adixia Xiareheman,0.6,5.6
Adiyanto Sumarjono,0.6,6.9
Adnaan Khan,0.6,4.5
Adnan Ali Khan,0.6,5.9
Adnan Köse,0.98,6.0
Adnan Omerović,1.138,7.1
Adnan Sami,0.6,7.4
Adnan İşbilir,0.6,1.9
Adolf Born,0.694,3.9
Adolfo Alix Jr.,0.7036363636363636,6.245454545454546
Adolfo Aristarain,0.6,7.449999999999999
Adolfo Bartoli,0.6,5.8
Adolfo Bioy Casares,0.6,6.3
Adolfo Blanco,0.6,6.7
Adolfo Cabiedes,0.6,7.0
Adolfo Cora,0.6,4.5
Adolfo Cruz Mateo,0.608,6.0
Adolfo Franco,0.6,4.0
Adolfo García Videla,0.6,7.2
Adolfo Lippi,0.6,2.6
Adolfo Martínez Solares,0.694,4.4
Adolfo Troiani,0.6,6.2
Adonis Liranza,0.6,
Adoor Gopalakrishnan,0.98,6.8
Adri Schrover,0.6,6.4
Adri Sidharta,0.6,6.0
Adriaan van Zyl,0.84,6.8
Adrian Askarieh,0.631,6.3
Adrian Biddle,1.242,5.7555555555555555
Adrian Butchart,0.6,5.6
Adrian C. Louis,0.6,7.1
Adrian Campean,0.6,6.8
Adrian Cooper,0.6,6.483333333333333
Adrian Cruz,0.6,4.8
Adrian Dark,0.6,7.5
Adrian Enescu,0.6,5.2
Adrian Esposito,0.6,7.0
Adrian Frutiger,0.6,5.8
Adrian Fulle,0.6,3.3
Adrian Getley,1.052,7.6
Adrian Grenier,0.868,7.1
Adrian Grünberg,2.383,7.949999999999999
Adrian Jackson,0.6,5.8
Adrian Johnston,0.6,6.3500000000000005
Adrian Konarski,0.6,7.1
Adrian Kwan,1.96,6.0
Adrian Lustig,0.6,
Adrian Lyne,0.735,6.6
Adrian McElwee,0.6,7.1
Adrian Medhurst,0.6,7.3
Adrian Mihai,0.6,6.7
Adrian O'Connell,0.6,4.1
Adrian Pasdar,3.515,6.3
Adrian Peng Correia,0.84,5.3
Adrian Politowski,0.731,5.58888888888889
Adrian Popescu,0.6,5.0
Adrian Popovici,0.6,6.3
Adrian Powers,0.6,6.2
Adrian Rhodes,1.38,6.624999999999999
Adrian Rostirolla,0.6,5.85
Adrian Schiop,0.6,6.5
Adrian Segura,0.732,6.0
Adrian Shergold,0.98,7.4
Adrian Sitaru,0.6,7.0
Adrian Sturges,0.6,6.55
Adrian Torres,0.6,6.55
Adrian Utley,0.6,5.9
Adrian Vitoria,0.6,6.0
